0x80495e5L,0x80495e5L,eax,x >= 1
0x80496b0L,0x80496b0L,eax,x != -1
0x8049964L,0x8049964L,eax,x != -1
0x8049979L,0x8049979L,eax,x == 2
0x804998eL,0x804998eL,eax,x == 2
0x804971aL,0x804971aL,eax,x != -1
0x80499a3L,0x80499a3L,eax,x > -1
0x8049743L,0x8049743L,eax,x > -1
0x8049758L,0x8049758L,eax,x > -1
0x804976dL,0x804976dL,eax,x != -1
0x80497adL,0x80497adL,eax,x != -1
0x80497c2L,0x80497c2L,eax,x > -1
0x80497d7L,0x80497d7L,eax,x > -1
0x8049829L,0x8049829L,eax,x != -1
0x804983eL,0x804983eL,eax,x != -1
0x8049853L,0x8049853L,eax,x != -1
0x80498a5L,0x80498a5L,eax,x > -1
0x80498baL,0x80498baL,eax,x != -1
0x80498cfL,0x80498cfL,ecx,x != -1
0x8049901L,0x8049901L,eax,x != -1
0x8049916L,0x8049916L,eax,x > -1
0x804992bL,0x804992bL,eax,x > -1
0x8049a4dL,0x8049a4dL,eax,x != -1
0x80499e1L,0x80499f3L,ecx,x != -1
0x8049a62L,0x8049a62L,ecx,x != -1
0x8049a26L,0x8049a26L,eax,x >= 0
0x8049a90L,0x8049ab2L,ecx,x != -1
0x8049ad0L,0x8049af1L,eax,x != -1
0x8049b20L,0x8049b4dL,ecx,x != -1
0x8049b6bL,0x8049b81L,eax,x != -1
0x8049bb0L,0x8049be8L,ecx,x != -1
0x8049c06L,0x8049c11L,eax,x != -1
0x8049cccL,0x8049cccL,eax,x >= -1
0x8049ce1L,0x8049ce1L,eax,x >= 0
0x8049da3L,0x8049da3L,eax,x != -1
0x8049db8L,0x8049db8L,eax,x != -1
0x8049d5dL,0x8049d5dL,ecx,x != -1
0x8049de0L,0x8049de0L,eax,x == 1
0x8049e72L,0x8049e72L,ecx,x != -1
0x8049e8bL,0x8049eacL,eax,x > -1
0x8049ec4L,0x8049ec4L,eax,x > -1
0x8049edcL,0x8049edcL,eax,x > -1
0x8049ef4L,0x8049ef4L,eax,x > -1
0x8049f0cL,0x8049f0cL,eax,x > -1
0x8049f24L,0x8049f24L,ecx,x != -1
0x8049f3dL,0x8049f3dL,eax,x >= -1
0x8049f55L,0x8049f55L,eax,x >= -1
0x8049f6dL,0x8049f6dL,eax,x > -1
0x8049f85L,0x8049f85L,eax,x >= -1
0x8049f9dL,0x8049f9dL,eax,x > -1
0x8049fb5L,0x8049fb5L,eax,x > -1
0x8049fcdL,0x8049fcdL,eax,x > -1
0x8049fe5L,0x8049fe5L,eax,x > -1
0x8049ffdL,0x8049ffdL,eax,x >= -1
0x804a014L,0x804a014L,eax,x >= -1
0x804a02cL,0x804a02cL,eax,x >= -1
0x804a2d0L,0x804a2d0L,eax,x > -1
0x804a199L,0x804a19eL,ecx,x >= -1
0x804a2e8L,0x804a2e8L,eax,x > -1
0x804a1bfL,0x804a1bfL,eax,x >= -1
0x804a300L,0x804a300L,eax,x >= -1
0x804a1d4L,0x804a1d4L,eax,x >= 0
0x804a0dcL,0x804a0dcL,ecx,x >= -1
0x804a315L,0x804a315L,eax,x > -1
0x804a1f4L,0x804a1f4L,eax,x >= -1
0x804a0fcL,0x804a0fcL,eax,x >= 0
0x804a32dL,0x804a32dL,eax,x > -1
0x804a209L,0x804a209L,eax,x >= -1
0x804a111L,0x804a111L,ecx,x >= -1
0x804a345L,0x804a345L,eax,x >= -1
0x804a229L,0x804a229L,eax,x >= 0
0x804a131L,0x804a131L,eax,x >= 0
0x804a35dL,0x804a35dL,eax,x > -1
0x804a23eL,0x804a243L,eax,x > 0
0x804a146L,0x804a146L,ecx,x >= -1
0x804a375L,0x804a375L,eax,x >= -1
0x804a278L,0x804a278L,ecx,x >= 0
0x804a38cL,0x804a38cL,eax,x > -1
0x804a2a1L,0x804a2a1L,eax,x >= 0
0x804a3a4L,0x804a3a4L,eax,x > -1
0x804a2b6L,0x804a2b6L,eax,x > 0
0x804a3bcL,0x804a3bcL,eax,x >= -1
0x804a3d4L,0x804a3d4L,eax,x > -1
0x804a3ecL,0x804a3ecL,eax,x >= -1
0x804a404L,0x804a404L,eax,x > -1
0x804a41cL,0x804a41cL,eax,x >= -1
0x804a431L,0x804a431L,eax,x >= -1
0x804a446L,0x804a446L,eax,x >= -1
0x804a45eL,0x804a45eL,eax,x > -1
0x804a476L,0x804a476L,eax,x >= -1
0x804a52eL,0x804a54fL,eax,x != -1
0x804a56eL,0x804a56eL,eax,x != -1
0x804a4ceL,0x804a4ceL,eax,x >= 0
0x804a4f5L,0x804a4f5L,eax,x >= 0
0x804ac4cL,0x804ac6eL,edx,x != -1
